x,biosim,laisim,bioobs,laiobs
1,0,0.00599799,,
2,0,0.00276611,,
3,0,0.00124275,,
4,0,0.000559406,,
5,0,0.000212226,,
6,0,7.04411e-05,,
7,0,2.64176e-05,,
8,0,5.76302e-06,,
9,0,1.63653e-06,,
10,0,6.05092e-07,,
11,0,2.68842e-07,,
12,0,9.93715e-08,,
13,0,5.24732e-08,,
14,0,0,,
15,0,0,,
16,0,0,,
17,0,0,,
18,0,0,,
19,0,0,,
20,0,0,,
21,0,0,,
22,0,0,,
23,0,0,,
24,0,0,,
25,0.769231,0.01,,
26,1.04586,0.0135962,,
27,1.47088,0.0190428,,
28,2.03725,0.0261849,,
29,2.76652,0.0352318,,
30,3.87459,0.0487303,,
31,5.2534,0.0652467,,
32,7.08452,0.0868159,,
33,9.44795,0.114122,20,0.4
34,11.7636,0.140403,,
35,15.2218,0.178979,,
36,19.0351,0.220745,,
37,23.2679,0.266347,,
38,28.5629,0.322443,,
39,33.4699,0.373659,,
40,38.5717,0.426217,50,0.9
41,49.1847,0.533293,,
42,58.5304,0.6267,,
43,71.4428,0.753909,,
44,79.8155,0.836173,,
45,86.7187,0.903562,,
46,90.9147,0.944888,,
47,93.414,0.969826,,
48,101.846,1.04784,,
49,115.667,1.17306,,
50,130.509,1.30591,,
51,140.984,1.39941,,
52,149.882,1.47816,,
53,163.71,1.5967,,
54,171.965,1.6666,,
55,179.114,1.72585,,
56,184.05,1.76623,,
57,187.167,1.79137,190,2.2
58,188.915,1.80511,,
59,189.652,1.8102,,
60,187.997,1.7973,,
61,190.764,1.81407,,
62,212.211,1.95692,,
63,227.712,2.05718,,
64,245.563,2.17223,350,3.2
65,256.883,2.24481,,
66,263.429,2.28636,,
67,267.492,2.31202,,
68,293.971,2.47556,,
69,317.992,2.62323,,
70,353.556,2.838,,
71,389.021,3.05085,,
72,421.835,3.2458,500,3.6
73,463.615,3.48763,,
74,486.237,3.62115,,
75,515.071,3.78604,,
76,560.218,4.03556,,
77,577.928,4.13815,,
78,605.947,4.2916,,
79,628.257,4.4145,,
80,670.501,4.63309,,
81,686.963,4.7219,720,4.2
82,677.76,4.68672,,
83,671.396,4.66258,,
84,681.321,4.71124,,
85,676.884,4.6937,750,4.4
86,702.932,4.80922,,
87,724.419,4.90272,,
88,729.089,4.92246,,
89,742.526,4.97645,,
90,745.433,4.98426,,
91,754.692,5.01408,,
92,762.232,5.03411,770,4.4
93,764.852,5.03275,,
94,776.399,5.06166,,
95,770.538,5.02599,,
96,778.858,5.03911,,
97,791.571,5.06778,,
98,811.456,5.12142,,
99,843.536,5.21458,,
100,874.12,5.29844,,
101,876.954,5.28885,,
102,886.851,5.2981,,
103,886.312,5.27481,,
104,873.716,5.21413,,
105,855.375,5.13484,,
106,852.58,5.09773,,
107,868.333,5.10942,830,4.5
108,876.292,5.09877,,
109,885.767,5.09056,,
110,896.728,5.08343,,
111,897.934,5.0531,,
112,905.052,5.03852,,
113,898.972,4.99268,,
114,877.701,4.9098,,
115,869.595,4.85915,,
116,868.888,4.82727,,
117,863.219,4.78398,,
118,848.657,4.71923,,
119,845.224,4.68203,,
120,829.638,4.61541,,
121,825.955,4.57817,,
122,810.918,4.51346,,
123,793.466,4.4427,,
124,781.441,4.38515,,
125,768.375,4.32514,,
126,750.597,4.25353,,
127,727.238,4.16784,,
128,709.305,4.09503,,
129,686.578,4.01012,,
130,665.039,3.92764,,
131,645.474,3.84963,,
132,625.404,3.77009,,
133,604.219,3.68747,,
134,588.509,3.61804,,
135,570.611,3.54317,,
136,553.899,3.47108,,
137,536.195,3.39646,,
138,519.499,3.3242,,
139,504.483,3.25604,,
140,491.416,3.19273,,
141,478.513,3.12998,,
142,465.994,3.06834,,
143,451.86,3.00288,,
144,439.465,2.9418,,
145,428.671,2.88486,,
146,428.137,2.8536,,
147,423.401,2.81282,,
148,427.579,2.79472,,
149,418.74,2.74552,,
150,411.661,2.70098,,
151,411.273,2.6734,,
152,407.531,2.63832,,
153,406.21,2.6098,,
154,399.613,2.56891,,
155,395.455,2.53441,,
156,399.514,2.52075,,
157,392.736,2.48124,,
158,396.449,2.46799,,
159,404.331,2.46598,,
160,400.625,2.43642,,
161,399.174,2.41285,,
162,401.421,2.39896,,
163,401.854,2.38132,,
164,405.529,2.37231,,
165,405.557,2.35505,,
166,399.156,2.32241,,
167,396.63,2.29949,,
168,391.483,2.27044,,
169,391.078,2.25331,,
170,386.302,2.22584,,
171,387.311,2.21288,,
172,378.389,2.17586,,
173,371.46,2.1437,,
174,362.443,2.1064,,
175,0.769231,0.01,,
176,0.779252,0.0101303,,
177,0.82098,0.0106727,,
178,0.865205,0.0112477,,
179,0.929731,0.0120865,,
180,1.01657,0.0132154,,
181,1.14291,0.0148522,,
182,1.19876,0.0155701,,
183,1.22469,0.0159,,
184,1.24859,0.0162042,,
185,1.33202,0.0172741,,
186,1.38675,0.0179755,,
187,1.43174,0.018552,,
188,1.49825,0.0194055,,
189,1.58277,0.020491,,
190,1.58958,0.0205777,,
191,1.62998,0.0210964,,
192,1.64274,0.0212599,,
193,1.67065,0.0216182,,
194,1.69531,0.021935,,
195,1.79517,0.0232189,,
196,1.91795,0.0247979,,
197,2.03913,0.0263531,,
198,2.12653,0.0274752,,
199,2.20533,0.0284875,,
200,2.30659,0.0297883,,
201,2.40373,0.0310361,,
202,2.61445,0.033724,,
203,2.83866,0.0365601,,
204,3.01657,0.0387896,,
205,2.98852,0.0384247,,
206,2.98429,0.0383578,,
207,2.95285,0.0379514,,
208,3.00787,0.0386264,,
209,3.05465,0.0391998,,
210,3.08612,0.0395831,,
211,3.08384,0.0395454,,
212,3.10539,0.0398062,,
213,3.16194,0.0405054,,
214,3.22477,0.0412843,,
215,3.28915,0.0420839,,
216,3.39692,0.0434272,,
217,3.52513,0.0450278,,
218,3.62789,0.0463082,,
219,3.65562,0.0466509,,
220,3.74874,0.0478092,,
221,3.77508,0.048137,,
222,3.87708,0.0494078,,
223,3.98331,0.0507329,,
224,4.02607,0.0512673,,
225,4.13361,0.0526018,,
226,4.18896,0.0532861,,
227,4.11668,0.0523881,,
228,4.06463,0.0517384,,
229,4.11079,0.0522994,,
230,4.0903,0.0520374,,
231,4.11407,0.05232,,
232,4.21601,0.0535654,,
233,4.27661,0.0543047,,
234,4.37339,0.0554908,,
235,4.47921,0.0567808,,
236,4.58276,0.0580347,,
237,4.70634,0.0595361,,
238,4.79325,0.0605929,,
239,4.98058,0.0628638,,
240,4.96856,0.062699,,
241,5.04399,0.0635874,,
242,5.13068,0.0646143,,
243,5.16908,0.0650634,,
244,5.21081,0.0655542,,
245,5.29125,0.0665126,,
246,5.35431,0.0672618,,
247,5.30158,0.0666132,,
248,5.47585,0.0686707,,
249,5.83308,0.072916,,
250,6.14897,0.0766799,,
251,6.44463,0.0802122,,
252,7.09134,0.087933,,
253,7.682,0.0949801,,
254,8.26569,0.101911,,
255,8.46646,0.104328,,
256,8.98473,0.110495,,
257,9.67827,0.118728,,
258,10.4267,0.127604,,
259,11.2791,0.137639,,
260,11.4181,0.13933,,
261,11.7811,0.143562,,
262,12.7157,0.154239,,
263,13.7771,0.16618,,
264,14.789,0.177472,,
265,16.2938,0.194064,,
266,17.9528,0.212092,,
267,18.8798,0.221903,,
268,20.9574,0.243596,,
269,21.2422,0.24661,,
270,21.599,0.250388,,
271,23.0271,0.26531,,
272,23.6191,0.27162,,
273,26.8434,0.305265,,
274,28.6826,0.323814,,
275,30.1928,0.33904,,
276,33.5025,0.372015,,
277,35.6774,0.393682,,
278,38.0058,0.416698,,
279,43.8925,0.473882,,
280,44.7148,0.482641,,
281,45.3666,0.489784,,
282,46.3014,0.499652,,
283,51.4906,0.550379,,
284,58.1797,0.615599,,
285,61.7509,0.65145,,
286,71.1639,0.743382,,
287,78.0526,0.811802,,
288,87.1952,0.901873,,
289,91.003,0.941126,,
290,94.3298,0.975615,,
291,99.0986,1.02354,,
292,113.277,1.15833,,
293,130.732,1.32173,,
294,150.854,1.50713,,
295,157.891,1.57399,,
296,173.841,1.71913,,
297,201.772,1.96958,,
298,237.144,2.28343,,
299,261.612,2.50084,,
300,286.067,2.71567,,
301,308.953,2.91688,,
302,309.285,2.93134,,
303,312.09,2.96561,,
304,318.195,3.0264,,
305,322.107,3.06871,,
306,349.086,3.298,,
307,365.536,3.44197,,
308,386.544,3.62163,,
309,385.163,3.62292,,
310,381.115,3.60172,,
311,379.275,3.59687,,
312,384.982,3.65058,,
313,419.28,3.92578,,
314,453.579,4.19795,,
315,484.735,4.44185,,
316,530.904,4.79102,,
317,548.618,4.92783,,
318,554.738,4.98038,,
319,570.433,5.09769,,
320,591.38,5.24879,,
321,594.799,5.27916,,
322,592.183,5.26698,,
323,606.24,5.36173,,
324,626.378,5.49278,,
325,0.769231,0.01,,
326,0.879085,0.0114281,,
327,0.969813,0.0125879,,
328,1.06539,0.0137986,,
329,1.11459,0.0144125,,
330,1.21282,0.0156462,,
331,1.34671,0.0173214,,
332,1.5513,0.0198597,,
333,1.6968,0.0216449,,
334,1.90036,0.0241397,,
335,2.14585,0.0271072,,
336,2.43812,0.0305833,,
337,3.14381,0.038888,,
338,4.41855,0.0536705,,
339,5.87691,0.0702839,,
340,7.50926,0.0885122,,
341,8.46614,0.0990599,,
342,10.7936,0.124346,,
343,13.881,0.157564,,
344,17.6717,0.197663,,
345,20.0546,0.222608,,
346,21.6499,0.23924,,
347,23.2672,0.255996,,
348,28.1104,0.304938,,
349,30.6352,0.330542,,
350,33.216,0.356441,,
351,35.4855,0.379236,,
352,40.0069,0.423584,,
353,47.4598,0.495732,,
354,53.7385,0.556495,,
355,57.0862,0.589461,,
356,60.7982,0.625625,,
357,65.0156,0.666184,,
358,70.1928,0.715087,,
359,77.4337,0.781755,,
360,92.5728,0.916493,,
361,107.843,1.04956,,
362,134.315,1.27756,,
363,162.985,1.52054,,
364,181.011,1.67393,,
365,209.969,1.91242,,
